"What was the code name given to Sonic the Hedgehog 4 during its development?","Project Needlemouse","Project Bluespike","Project Roboegg","Project Darksphere",303
"What was the name of the hero in the 80s animated video game &#039;Dragon&#039;s Lair&#039;?","Dirk the Daring","Arthur","Sir Toby Belch","Guy of Gisbourne",304
"In the Super Mario Bros. Series, what is Yoshi&#039;s scientific name?","T. Yoshisaur Munchakoopas","Yoshi","T. Yoshisotop Munchakoopas","Yossy",305
"Which of the following commercial vehicles from Grand Theft Auto IV did NOT reappear in Grand Theft Auto V?","Steed","Mule","Benson","Pony",306
"In the game Nuclear Throne, what organization chases the player character throughout the game?","The I.D.P.D","The Fishmen","The Bandits","The Y.V.G.G",307
"What device allows Tracer to manipulate her own time in the game &quot;Overwatch&quot;?","Chronal Accelerator","B.L.I.N.K","Spacial Displacement Manipulator","TMD (Time Manipulation Device)",308
"In the game &quot;Overwatch,&quot; which quote does the hero &quot;McCree&quot; NOT say upon using his flashbang ability?","&quot;You done?&quot;","&quot;Whoa there.&quot;","&quot;Hold up now.&quot;","&quot;Don&#039;t move.&quot;",309
"Before Super Smash Bros. contained Nintendo characters, what was it known as internally?","Dragon King: The Fighting Game","Contest of Champions","Smash and Pummel","Fighter of the Ages: Conquest",310
"Which of these is NOT a possible drink to be made in the game &quot;VA-11 HALL-A: Cyberpunk Bartender Action&quot;?","Sour Appletini","Fringe Weaver","Piano Man","Bad Touch",311
"According to Toby Fox, what was the method to creating the initial tune for Megalovania?","Singing into a Microphone","Playing a Piano","Using a Composer Software","Listened to birds at the park",312
"What was the world&#039;s first handheld game device?","Mattel Auto Race","Game Boy","Microvision","Game &amp; Watch",313
"What animal is on Link&#039;s pajamas in The Legend of Zelda: The Wind Waker?","Crawfish","Lobster","Salmon","Swordfish",314
"How many total monsters appear in Monster Hunter Generations?","105","100","98","73",315
"In World of Warcraft lore, which of the following is known as the God of Spiders in the troll&#039;s loa beliefs?","Elortha no Shadra","Bwonsamdi","Hakkar","Shirvallah",316
"Which character, in the game &quot;Morenatsu&quot;, has the most possible endings to their route, at a total of four different endings?","Shin Kuroi","Kouya Aotsuki","Soutarou Touno","Torahiko Ooshima",317
"In Animal Crossing: New Leaf, which of these paintings from Redd&#039;s Art Gallery is always genuine?","Warm Painting","Jolly Painting","Neutral Painting","Wistful Painting",318
"The voice actor for which Portal 2 character was not a TV or film actor prior to the game?","GLaDOS","Cave Johnson","Wheatley","Atlas / P-Body",319
